Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-16208,-18344,-17112,-16476,,,,,,,
-16172,-18572,-17104,-16540,,,,,,,
-16156,-18316,-17116,-16484,,,,,,,
-16016,-18520,-17256,-16492,,,,,,,
-16032,-18424,-17092,-16628,,,,,,,
-16088,-18380,-17240,-16460,,,,,,,
-15900,-18396,-17288,-16488,,,,,,,
-16064,-18512,-17176,-16380,,,,,,,
-16016,-18384,-17320,-16520,,,,,,,
-16072,-18404,-17176,-16488,,,,,,,
-16164,-18540,-17184,-16552,,,,,,,
-15964,-18436,-17184,-16412,,,,,,,
-16184,-18444,-17164,-16504,,,,,,,
-15992,-18468,-17180,-16436,,,,,,,
-16128,-18460,-17304,-16524,,,,,,,
-16128,-18468,-17272,-16472,,,,,,,
-16056,-18476,-17084,-16400,,,,,,,
-16016,-18456,-17092,-16452,,,,,,,
-16064,-18432,-17224,-16524,,,,,,,
-16080,-18476,-17096,-16496,,,,,,,
-16064,-18340,-17080,-16440,,,,,,,
-16092,-18348,-17272,-16480,,,,,,,
-16184,-18524,-17172,-16468,,,,,,,
-16104,-18488,-17200,-16440,,,,,,,
-15996,-18472,-17196,-16448,,,,,,,
-15980,-18448,-17260,-16492,,,,,,,
-16036,-18320,-17172,-16516,,,,,,,
-16148,-18424,-17192,-16532,,,,,,,
-16068,-18404,-17172,-16512,,,,,,,
-15920,-18404,-17260,-16500,,,,,,,
-16008,-18380,-17216,-16424,,,,,,,
-15928,-18340,-17240,-16532,,,,,,,
-15988,-18432,-17292,-16380,,,,,,,
-16104,-18364,-17300,-16520,,,,,,,
-16116,-18420,-17096,-16444,,,,,,,
-16040,-18488,-17240,-16520,,,,,,,
-16116,-18492,-17032,-16340,,,,,,,
-16052,-18560,-17048,-16532,,,,,,,
-16132,-18460,-17296,-16396,,,,,,,
-16164,-18300,-17068,-16428,,,,,,,
-16068,-18360,-17196,-16416,,,,,,,
-16048,-18344,-17180,-16488,,,,,,,
-16064,-18380,-17156,-16484,,,,,,,
-16240,-18472,-17220,-16532,,,,,,,
-16076,-18336,-17272,-16356,,,,,,,
-16052,-18404,-17148,-16444,,,,,,,
-16048,-18368,-17120,-16436,,,,,,,
-16044,-18456,-17192,-16564,,,,,,,
-16136,-18460,-17152,-16408,,,,,,,
-16128,-18460,-17164,-16632,,,,,,,
-16016,-18480,-16988,-16384,,,,,,,
-16188,-18448,-17128,-16624,,,,,,,
-15964,-18472,-17196,-16584,,,,,,,
-16212,-18512,-17260,-16648,,,,,,,
-16216,-18440,-17204,-16440,,,,,,,
-16228,-18488,-17240,-16512,,,,,,,
-15928,-18496,-17176,-16476,,,,,,,
-16176,-18468,-17136,-16508,,,,,,,
-16028,-18476,-17304,-16516,,,,,,,
-16088,-18500,-17216,-16592,,,,,,,
-15988,-18384,-17120,-16588,,,,,,,
-16004,-18316,-17172,-16516,,,,,,,
-16132,-18280,-17236,-16572,,,,,,,
-16136,-18388,-17168,-16488,,,,,,,
-16064,-18344,-17196,-16576,,,,,,,
-16108,-18428,-17056,-16328,,,,,,,
-16216,-18436,-17212,-16452,,,,,,,
-16172,-18516,-17204,-16524,,,,,,,
-16152,-18404,-17200,-16464,,,,,,,
-16088,-18444,-17220,-16368,,,,,,,
-16192,-18508,-17276,-16476,,,,,,,
-16072,-18280,-17216,-16500,,,,,,,
-16112,-18436,-17160,-16440,,,,,,,
-16008,-18324,-17056,-16548,,,,,,,
-16052,-18436,-17196,-16340,,,,,,,
-16036,-18500,-17244,-16408,,,,,,,
-16116,-18480,-17372,-16432,,,,,,,
-16028,-18416,-17204,-16448,,,,,,,
-16312,-18392,-17200,-16500,,,,,,,
-16136,-18496,-17240,-16460,,,,,,,
-16068,-18448,-17172,-16380,,,,,,,
-16084,-18368,-17228,-16580,,,,,,,
-16020,-18452,-17100,-16412,,,,,,,
-16092,-18412,-17032,-16524,,,,,,,
-16144,-18376,-17128,-16528,,,,,,,
-16168,-18308,-17196,-16436,,,,,,,
-16160,-18412,-17100,-16456,,,,,,,
-16068,-18484,-17136,-16532,,,,,,,
-16208,-18424,-17188,-16436,,,,,,,
-16104,-18380,-17136,-16360,,,,,,,
-16088,-18476,-17128,-16360,,,,,,,
-16136,-18548,-17176,-16564,,,,,,,
-16152,-18404,-17152,-16612,,,,,,,
-15960,-18408,-17076,-16608,,,,,,,
-16216,-18424,-17160,-16420,,,,,,,
-16148,-18304,-17300,-16480,,,,,,,
-16024,-18336,-17212,-16368,,,,,,,
-16228,-18428,-17260,-16384,,,,,,,
-16116,-18468,-17120,-16416,,,,,,,
-16100,-18408,-17232,-16504,,,,,,,
-16132,-18444,-17140,-16480,,,,,,,
